indicator,description,value_type,raw_min,raw_max,p01,p99,clipped_min,clipped_max,clipped_low_cells,clipped_high_cells,clip_applied
pop_density,D1.1 人口密度,continuous,0.0,27896.966796875,0.0,566.9259429931635,0.0,566.9259429931635,0,1207,True
nightlight,D1.2 夜间灯光强度,continuous,0.013659415766596794,84.5393295288086,0.035454092696309086,2.3582595753669784,0.035454092696309086,2.3582595753669784,1207,1207,True
cropland_ratio,D1.3 耕地/农田比例,ratio,0.0,1.0,0.0,1.0,0.0,1.0,0,0,False
dist_port,D2.1 距边境口岸距离,continuous,0.8829110024786673,1613.027511271998,20.14589931921498,1467.705751011506,20.14589931921498,1467.705751011506,1204,1204,True
dist_city,D2.2 距最近城市/城镇节点距离,continuous,0.4327107658137818,689.4334338380286,9.237443302746682,622.8846194001752,9.237443302746682,622.8846194001752,1204,1204,True
dist_major_road,D2.3 距主要道路距离,continuous,0.006326643087680621,652.7597870288596,0.8995907000968991,549.8689798831658,0.8995907000968991,549.8689798831658,1204,1204,True
ndvi,D3.1 NDVI,continuous,-0.1829642802476883,0.9068480134010315,0.2870250111818314,0.8696345114707947,0.2870250111818314,0.8696345114707947,1207,1207,True
forest_ratio,D3.2 林地覆盖率,ratio,0.0,1.0,0.0,1.0,0.0,1.0,0,0,False
npp,D3.3 净初级生产力,continuous,0.020364627242088318,1.1149282455444336,0.14299348264932632,0.7354458379745487,0.14299348264932632,0.7354458379745487,1205,1205,True
slope,D4.1 地形坡度,continuous,0.0,17.352718353271484,0.09837152063846588,11.179402351379395,0.09837152063846588,11.179402351379395,1204,1204,True
climate_water_stress,D4.2 气候水分亏缺,continuous,0.0,818.3375244140625,0.0,667.2495806884766,0.0,667.2495806884766,0,1207,True
cold_stress,D4.3 低温冷胁迫,continuous,8.197640419006348,283.969482421875,35.84297664642334,208.8517398071289,35.84297664642334,208.8517398071289,1207,1207,True
